product_id,supplier_id,sku,product_name,category,brand,cost_price,selling_price,stock_quantity,last_update
57,7,OF-057,Monitor Stand 1,Office,OfficePlus,74.68,138.77,8,2026-01-28
58,7,OF-058,Notebook Set 2,Office,OfficePlus,10.49,14.57,40,2025-12-17
59,7,OF-059,Monitor Stand 3,Office,OfficePlus,71.06,129.44,60,2026-01-06
60,7,OF-060,Desk Organizer 4,Office,OfficePlus,37.86,60.69,40,2026-02-17
61,7,OF-061,Notebook Set 5,Office,OfficePlus,55.09,88.72,12,2026-03-31
62,7,OF-062,Desk Organizer 6,Office,OfficePlus,24.83,45.4,150,2025-12-20
63,7,OF-063,Monitor Stand 7,Office,OfficePlus,26.13,36.24,60,2025-12-27
64,7,OF-064,Monitor Stand 8,Office,OfficePlus,42.91,60.64,8,2025-12-12
65,7,OF-065,Pen Kit 9,Office,OfficePlus,67.2,85.93,60,2026-03-09
66,7,OF-066,Desk Organizer 10,Office,OfficePlus,52.78,74.96,120,2026-02-09
67,7,OF-067,Pen Kit 11,Office,OfficePlus,47.07,62.26,18,2026-02-08
68,7,OF-068,Notebook Set 12,Office,OfficePlus,67.59,110.08,18,2026-01-25
69,7,OF-069,Desk Organizer 13,Office,OfficePlus,8.14,12.1,8,2026-03-26
70,7,OF-070,Monitor Stand 14,Office,OfficePlus,20.76,29.32,12,2026-01-15
71,8,GR-071,Bamboo Cutlery 1,Green Living,EcoTrend,78.04,135.57,25,2026-03-21
72,8,GR-072,Lunch Box 2,Green Living,EcoTrend,78.22,139.0,90,2025-12-04
73,8,GR-073,Lunch Box 3,Green Living,EcoTrend,60.24,88.31,90,2026-03-13
74,8,GR-074,Lunch Box 4,Green Living,EcoTrend,25.01,44.06,12,2026-01-18
75,8,GR-075,Reusable Bottle 5,Green Living,EcoTrend,69.39,96.77,120,2026-01-14
76,8,GR-076,Compost Bin 6,Green Living,EcoTrend,66.54,120.86,25,2025-12-04
77,8,GR-077,Lunch Box 7,Green Living,EcoTrend,34.88,49.92,12,2026-03-09
78,8,GR-078,Compost Bin 8,Green Living,EcoTrend,31.34,49.55,150,2026-01-12
79,8,GR-079,Reusable Bottle 9,Green Living,EcoTrend,13.65,25.67,18,2026-02-13
80,8,GR-080,Compost Bin 10,Green Living,EcoTrend,7.87,12.89,60,2026-03-04
81,8,GR-081,Compost Bin 11,Green Living,EcoTrend,37.73,71.3,12,2026-01-19
82,8,GR-082,Lunch Box 12,Green Living,EcoTrend,24.1,41.23,8,2026-02-05
83,8,GR-083,Lunch Box 13,Green Living,EcoTrend,32.32,41.87,60,2026-02-18
84,8,GR-084,Compost Bin 14,Green Living,EcoTrend,54.75,72.87,40,2026-02-03
85,9,KI-085,Night Light 1,Kids,KidsWorld,55.02,80.44,40,2026-02-09
86,9,KI-086,Drawing Kit 2,Kids,KidsWorld,19.39,32.62,90,2026-02-25
87,9,KI-087,Drawing Kit 3,Kids,KidsWorld,51.16,73.96,150,2026-03-17
88,9,KI-088,Puzzle Set 4,Kids,KidsWorld,27.79,38.53,60,2026-01-29
89,9,KI-089,Toy Basket 5,Kids,KidsWorld,38.16,53.0,120,2026-03-12
90,9,KI-090,Drawing Kit 6,Kids,KidsWorld,54.41,78.05,60,2025-12-12
91,9,KI-091,Drawing Kit 7,Kids,KidsWorld,55.46,77.42,25,2025-12-19
92,9,KI-092,Puzzle Set 8,Kids,KidsWorld,8.47,16.0,12,2026-01-28
93,9,KI-093,Toy Basket 9,Kids,KidsWorld,71.46,116.06,90,2026-02-02
94,9,KI-094,Toy Basket 10,Kids,KidsWorld,23.3,39.06,8,2026-03-25
95,9,KI-095,Puzzle Set 11,Kids,KidsWorld,63.38,88.24,150,2026-01-29
96,9,KI-096,Puzzle Set 12,Kids,KidsWorld,46.81,86.43,12,2026-01-28
97,9,KI-097,Drawing Kit 13,Kids,KidsWorld,65.11,109.64,150,2026-02-15
98,9,KI-098,Night Light 14,Kids,KidsWorld,76.25,139.49,150,2026-01-24
99,10,PE-099,Dog Leash 1,Pet Care,PetCare,72.29,125.31,120,2026-01-27
100,10,PE-100,Cat Toy 2,Pet Care,PetCare,61.38,110.23,40,2026-03-09
101,10,PE-101,Dog Leash 3,Pet Care,PetCare,52.01,74.3,12,2026-03-02
102,10,PE-102,Cat Toy 4,Pet Care,PetCare,22.59,33.17,150,2025-12-11
103,10,PE-103,Pet Brush 5,Pet Care,PetCare,16.31,24.45,18,2026-03-01
104,10,PE-104,Pet Brush 6,Pet Care,PetCare,9.82,14.88,150,2026-01-29
105,10,PE-105,Dog Leash 7,Pet Care,PetCare,9.67,17.32,90,2026-03-26
106,10,PE-106,Pet Bowl 8,Pet Care,PetCare,69.25,121.02,90,2026-01-31
107,10,PE-107,Pet Bowl 9,Pet Care,PetCare,75.71,109.33,90,2026-03-20
108,10,PE-108,Dog Leash 10,Pet Care,PetCare,45.37,78.38,25,2026-02-01
109,10,PE-109,Pet Brush 11,Pet Care,PetCare,25.47,39.88,90,2026-01-13
110,10,PE-110,Dog Leash 12,Pet Care,PetCare,59.31,106.54,18,2026-02-18
111,10,PE-111,Pet Bowl 13,Pet Care,PetCare,73.02,119.37,8,2025-12-11
112,10,PE-112,Dog Leash 14,Pet Care,PetCare,15.18,23.53,8,2026-01-03
